Well,Sample Type,Target ID,Sample ID,Filter,Ct(CP),Ct(SDM),Cutoff(Ct),Qty(CP),Qty(SDM),Tm #1,Cutoff(Tm)
A1,UNKN,1,1,FAM,36.02,35.56,,--,--,75.01,
A2,UNKN,2,1,FAM,34.93,33.98,,--,--,73.39,
A3,UNKN,3,1,FAM,36.12,36.08,,--,--,76.81,
A4,UNKN,4,1,FAM,35.34,35.18,,--,--,79.77,
A5,UNKN,5,1,FAM,34.23,34.14,,--,--,77.17,
A6,UNKN,6,1,FAM,37.99,38.15,,--,--,77.28,
A7,UNKN,1,3,FAM,28.97,28.85,,--,--,75.4,
A8,UNKN,2,3,FAM,26.35,26.49,,--,--,73.9,
A9,UNKN,3,3,FAM,27.51,27.45,,--,--,77.11,
A10,UNKN,4,3,FAM,27.1,26.98,,--,--,80.1,
A11,UNKN,5,3,FAM,26.81,26.89,,--,--,77.53,
A12,UNKN,6,3,FAM,27.38,27.33,,--,--,78.3,
B1,UNKN,1,1,FAM,38.26,38.25,,--,--,75.38,
B2,UNKN,2,1,FAM,34.72,34.41,,--,--,73.49,
B3,UNKN,3,1,FAM,36.78,36.79,,--,--,76.46,
B4,UNKN,4,1,FAM,35.68,35.88,,--,--,79.78,
B5,UNKN,5,1,FAM,33.95,33.93,,--,--,77.05,
B6,UNKN,6,1,FAM,36.49,36.64,,--,--,77.44,
B7,UNKN,1,3,FAM,28.72,28.67,,--,--,75.29,
B8,UNKN,2,3,FAM,26.64,26.4,,--,--,73.72,
B9,UNKN,3,3,FAM,27.54,27.55,,--,--,77.07,
B10,UNKN,4,3,FAM,27.11,26.96,,--,--,80.02,
B11,UNKN,5,3,FAM,26.76,26.84,,--,--,77.47,
B12,UNKN,6,3,FAM,27.25,27.29,,--,--,78.23,
C1,UNKN,1,1,FAM,37.16,37.03,,--,--,75.22,
C2,UNKN,2,1,FAM,34.44,34.19,,--,--,73.45,
C3,UNKN,3,1,FAM,36.92,36.84,,--,--,76.73,
C4,UNKN,4,1,FAM,37.78,38.02,,--,--,79.71,
C5,UNKN,5,1,FAM,34.12,34.12,,--,--,77.13,
C6,UNKN,6,1,FAM,39.54,39.36,,--,--,77.51,
C7,UNKN,1,3,FAM,28.84,28.89,,--,--,75.26,
C8,UNKN,2,3,FAM,26.66,26.57,,--,--,73.72,
C9,UNKN,3,3,FAM,27.73,27.57,,--,--,77.06,
C10,UNKN,4,3,FAM,27.07,26.72,,--,--,80.01,
C11,UNKN,5,3,FAM,27.13,26.98,,--,--,77.53,
C12,UNKN,6,3,FAM,27.4,27.21,,--,--,78.19,
D1,UNKN,1,2,FAM,34.21,34.32,,--,--,75.4,
D2,UNKN,2,2,FAM,35.65,35.82,,--,--,73.67,
D3,UNKN,3,2,FAM,--,--,,--,--,61.82,
D4,UNKN,4,2,FAM,--,--,,--,--,83.23,
D5,UNKN,5,2,FAM,34.32,34.23,,--,--,77.22,
