"","Cell","Genotype","Sample","Target","Ct","Tm","Input","Mean_Ct","deltaCt","relative_exp"
"1","Th2","WT","Sample","Bcl2l11CNS-9_1",40,60,"Input",28.9,5.45614381022528,0.0227791257699416
"2","Th2","WT","Sample","Bcl2l11CNS-9_2",40,60,"Input",26.14,8.21614381022528,0.00336274754601016
"3","Th2","WT","Sample","Ifng+18",36.38,60,"Input",30.9,-0.16385618977472,1.12027753751236
"4","Th2","WT","Sample","Il4ra-8",36.35,60,"Input",27.5966666666667,3.10947714355861,0.115865491690282
"5","Th2","WT","Sample","Il4ra-12",33.51,60,"Input",25.61,2.25614381022527,0.20933075440162
"6","Th2","WT","Sample","Gmpr",37.57,60,"Input",31.0933333333333,0.832810476891942,0.561434460382391
"7","Th2","WT","Sample","Bcl2l11CNS-9_1",40,60,"Input",28.9,5.45614381022528,0.0227791257699416
"8","Th2","WT","Sample","Bcl2l11CNS-9_2",36.55,60,"Input",26.14,4.76614381022527,0.0367491881692156
"9","Th2","WT","Sample","Ifng+18",34.43,60,"Input",30.9,-2.11385618977472,4.32846708784664
"10","Th2","WT","Sample","Il4ra-8",41.66,60,"Input",27.5966666666667,8.41947714355861,0.00292068575156831
"11","Th2","WT","Sample","Il4ra-12",34.1,60,"Input",25.61,2.84614381022528,0.139067401913776
"12","Th2","WT","Sample","Gmpr",40,60,"Input",31.0933333333333,3.26281047689194,0.104182836225133
"13","Th2","WT","Sample","Bcl2l11CNS-9_1",36.8,60,"Input",28.9,2.25614381022527,0.20933075440162
"14","Th2","WT","Sample","Bcl2l11CNS-9_2",40,60,"Input",26.14,8.21614381022528,0.00336274754601016
"15","Th2","WT","Sample","Ifng+18",37.05,60,"Input",30.9,0.506143810225274,0.704101923914712
"16","Th2","WT","Sample","Il4ra-8",37.29,60,"Input",27.5966666666667,4.04947714355861,0.0603929039750702
"17","Th2","WT","Sample","Il4ra-12",33.1,60,"Input",25.61,1.84614381022528,0.278134803827553
"18","Th2","WT","Sample","Gmpr",37.14,60,"Input",31.0933333333333,0.402810476891942,0.756383356236627
"19","Th2","KO","Sample","Bcl2l11CNS-9_1",34.86,60,"Input",30.0266666666667,-0.810522856441392,1.7538469504834
"20","Th2","KO","Sample","Bcl2l11CNS-9_2",33.1,60,"Input",26.67,0.786143810225275,0.579892019776972
"21","Th2","KO","Sample","Ifng+18",34.02,60,"Input",26.1333333333333,2.24281047689195,0.21127434884377
"22","Th2","KO","Sample","Il4ra-8",34.56,60,"Input",26.85,2.06614381022528,0.238796929236732
"23","Th2","KO","Sample","Il4ra-12",32.44,60,"Input",25.6633333333333,1.13281047689194,0.456026485842568
"24","Th2","KO","Sample","Gmpr",35.39,60,"Input",27.21,2.53614381022528,0.172402928963019
"25","Th2","KO","Sample","Bcl2l11CNS-9_1",35.9,60,"Input",30.0266666666667,0.229477143558607,0.852943956695813
"26","Th2","KO","Sample","Bcl2l11CNS-9_2",36.17,60,"Input",26.67,3.85614381022528,0.0690533966002488
"27","Th2","KO","Sample","Ifng+18",33.33,60,"Input",26.1333333333333,1.55281047689194,0.340845424859697
"28","Th2","KO","Sample","Il4ra-8",34.37,60,"Input",26.85,1.87614381022527,0.272410872334064
"29","Th2","KO","Sample","Il4ra-12",33.2,60,"Input",25.6633333333333,1.89281047689194,0.269281966598784
"30","Th2","KO","Sample","Gmpr",35.02,60,"Input",27.21,2.16614381022528,0.222805413255551
"31","Th2","KO","Sample","Bcl2l11CNS-9_1",38.13,60,"Input",30.0266666666667,2.45947714355861,0.181812444550366
"32","Th2","KO","Sample","Bcl2l11CNS-9_2",32.94,60,"Input",26.67,0.626143810225272,0.647905895167534
"33","Th2","KO","Sample","Ifng+18",33.91,60,"Input",26.1333333333333,2.13281047689194,0.228013242921284
"34","Th2","KO","Sample","Il4ra-8",34.61,60,"Input",26.85,2.11614381022527,0.230662629185455
"35","Th2","KO","Sample","Il4ra-12",32.82,60,"Input",25.6633333333333,1.51281047689194,0.350427894050715
"36","Th2","KO","Sample","Gmpr",36.02,60,"Input",27.21,3.16614381022528,0.111402706627776
